id	x	y	cluster	weight<Links>	weight<Total link strength>
1	1.0621	-0.3868	1	4534	344.9545
10	1.1885	0.0562	1	4534	402.2839
100	0.9756	0.3579	1	4534	202.5833
1000	0.7486	-0.1515	1	4534	226.9068
1001	0.869	-0.4186	1	4534	693.4931
1002	-0.525	-0.1906	2	4534	263.1431
1003	-0.5492	-0.3015	2	4534	759.7946
1004	-0.4232	0.4063	4	4534	223.5635
1005	-0.6067	0.1929	3	4534	478.2582
1006	-0.2316	-0.2554	2	4534	603.0251
1007	0.3907	0.3674	1	4534	128.4813
1008	-0.6399	0.2836	3	4534	384.5932
1009	0.6676	0.3574	1	4534	226.1249
101	0.5784	-0.2307	1	4534	401.9843
1010	-0.5236	-0.1366	2	4534	384.1294
1011	-0.3241	-0.3079	5	4534	469.8991
1012	1.048	0.4073	1	4534	182.0082
1013	0.9838	0.1507	1	4534	249.0371
1014	0.8514	0.345	1	4534	234.6815
1015	1.1397	-0.2673	1	4534	547.5945
1016	-0.8697	0.2811	3	4534	408.8223
1017	-1.1409	0.0842	3	4534	418.5538
1018	-1.0653	0.2196	3	4534	220.0469
1019	-0.9344	0.0266	3	4534	541.1501
102	1.0118	0.1717	1	4534	77.305
1020	-0.461	0.3419	4	4534	248.8089
1021	0.9113	-0.26	1	4534	482.6419
1022	0.9933	-0.0636	1	4534	290.9813
1023	-0.9974	0.0365	3	4534	408.7223
1024	-0.2578	-0.1476	5	4534	310.0178
1025	1.1416	-0.2241	1	4534	353.7554
1026	0.931	0.2415	1	4534	308.533
1027	-0.9098	-0.1324	3	4534	377.5874
1028	-0.4092	0.5128	4	4534	255.3407
1029	-0.9581	0.1149	3	4534	118.9659
103	-0.821	0.3215	3	4534	356.1189
1030	-0.9541	-0.0492	3	4534	490.9033
1031	-1.0694	0.0427	3	4534	412.2546
1032	0.4579	0.0752	5	4534	175.9998
1033	0.3219	0.2147	5	4534	294.1228
1034	1.1224	0.0768	1	4534	233.1013
1035	-0.5488	-0.2781	2	4534	861.8771
1036	0.9859	0.3269	1	4534	215.3892
1037	-0.3515	0.5145	4	4534	134.7238
1038	-0.5663	0.36	4	4534	328.4172
1039	-0.6152	0.4617	4	4534	209.9096
104	0.0148	0.6453	4	4534	87.1248
1040	0.3806	-0.2172	5	4534	580.2391
1041	0.887	0.3237	1	4534	349.425
1042	-0.5121	-0.4195	2	4534	879.6253
1043	-0.5085	-0.3788	2	4534	915.0266
1044	-0.0356	-0.0622	5	4534	265.4971
1045	-1.057	0.1811	3	4534	322.7514
1046	0.2251	0.4778	4	4534	135.9442
1047	-0.9531	0.01	3	4534	746.2509
1048	-0.5053	-0.1087	2	4534	468.4488
1049	-0.7967	-0.2583	2	4534	753.5743
105	0.1353	0.0109	5	4534	250.637
